algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.128187065,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.128185453,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.128192113,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.128200265,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.128201046,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.128185612,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.024555317,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.024555678,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.024557711,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.024564391,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.024557581,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.024555778,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.024573575,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.024548256,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.024552683,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.02456385,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.07384309999999998,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.07384444199999998,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.07384322,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.073865043,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.07384255,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.073862119,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.073856881,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.073838293,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.073841108,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.07384926,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.012715547,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
