algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,ascending,18,4194304,256,1,256,128,"1,1,1",1,selection,0.059480278,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,4194304,256,1,256,128,"1,1,1",1,selection,0.059601462,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,4194304,256,1,256,128,"1,1,1",1,selection,0.010745968,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,4194304,256,1,256,128,"1,1,1",1,selection,0.010758296,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,4194304,256,1,256,128,"1,1,1",1,selection,0.010750374,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,4194304,256,1,256,128,"1,1,1",1,selection,0.010729022,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,4194304,256,1,256,128,"1,1,1",1,selection,0.010745237,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,4194304,256,1,256,128,"1,1,1",1,selection,0.010737725,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,4194304,256,1,256,128,"1,1,1",1,selection,0.010742913,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,4194304,256,1,256,128,"1,1,1",1,selection,0.010742032,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,4194304,256,1,256,128,"1,1,1",1,selection,0.010744425,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,4194304,256,1,256,128,"1,1,1",1,selection,0.010737254,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,4194304,256,1,128,256,"1,1,1",1,selection,0.051807982,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,4194304,256,1,128,256,"1,1,1",1,selection,0.051913333,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,4194304,256,1,128,256,"1,1,1",1,selection,0.051798177,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,4194304,256,1,128,256,"1,1,1",1,selection,0.051720198,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,4194304,256,1,128,256,"1,1,1",1,selection,0.051877668,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,4194304,256,1,128,256,"1,1,1",1,selection,0.051913512,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,4194304,256,1,128,256,"1,1,1",1,selection,0.05172203,hopper01,108407,ascending
