k,query_count,point_count,algorithm,dim,time,throughput
16,1024,1048576,bits + zero computation,8,0.004749222504691538,226087917114.70667
16,1024,1048576,bits + zero computation,16,0.004776375846850775,224802624087.4562
16,1024,1048576,bits-fused,4,0.0034526758999999995,310988304462.6344
16,1024,1048576,bits-fused,8,0.004905584199999999,218881539939.7283
16,1024,1048576,bits-fused,16,0.007852827199999999,136733153124.77525
16,1024,1048576,raftL2-fused,4,0.008646648599999997,124180115750.28044
16,1024,1048576,raftL2-fused,8,0.008685482499999998,123624890614.88527
16,1024,1048576,raftL2-fused,16,0.0087294791,123001820807.38358
16,2048,524288,bits + MAGMA,4,0.007300894800000001,147069893953.27267
16,2048,524288,bits + MAGMA,8,0.0073919825,145257625271.70486
16,2048,524288,bits + MAGMA,16,0.007633246000000001,140666477144.84766
16,2048,524288,bits + zero computation,4,0.004691530101590762,228868151914.0046
16,2048,524288,bits + zero computation,8,0.004699409040649224,228484435960.41223
16,2048,524288,bits + zero computation,16,0.00470943931876615,227997804265.4375
16,2048,524288,bits-fused,4,0.0029305707,366393420912.86176
16,2048,524288,bits-fused,8,0.0039300038,273216484930.62527
16,2048,524288,bits-fused,16,0.0061311909,175127775584.34854
16,2048,524288,raftL2-fused,4,0.008678029099999998,123731069765.59923
16,2048,524288,raftL2-fused,8,0.008632905199999999,124377807832.29268
16,2048,524288,raftL2-fused,16,0.0086582434,124013818322.54797
16,4096,262144,bits + MAGMA,4,0.0072259591,148595059720.1692
16,4096,262144,bits + MAGMA,8,0.0072581218000000005,147936594836.42172
16,4096,262144,bits + MAGMA,16,0.007509769100000001,142979339271.56293
16,4096,262144,bits + zero computation,4,0.004666123739098837,230114305585.7688
16,4096,262144,bits + zero computation,8,0.004667062515665375,230068018244.00217
16,4096,262144,bits + zero computation,16,0.004681772068798449,229345172772.49036
16,4096,262144,bits-fused,4,0.0025349188999999996,423580345706.52344
16,4096,262144,bits-fused,8,0.0033806615,317612935811.52686
16,4096,262144,bits-fused,16,0.0050077822,214414641275.73282
16,4096,262144,raftL2-fused,4,0.0080233394,133827296898.34636
16,4096,262144,raftL2-fused,8,0.0080191689,133896895973.84587
16,4096,262144,raftL2-fused,16,0.008195224599999999,131020426700.69106
16,8192,131072,bits + MAGMA,4,0.0071577386,150011321173.42203
16,8192,131072,bits + MAGMA,8,0.007292517,147238851003.0213
16,8192,131072,bits + MAGMA,16,0.0075081467,143010235002.46738
16,8192,131072,bits + zero computation,4,0.0046542815148901805,230699802013.44467
16,8192,131072,bits + zero computation,8,0.004661996867248061,230318006334.01562
16,8192,131072,bits + zero computation,16,0.0046727578719638245,229787601545.1957
16,8192,131072,bits-fused,4,0.002249911,477237465837.5376
16,8192,131072,bits-fused,8,0.0028063373,382613246098.39307
16,8192,131072,bits-fused,16,0.004215868199999999,254690557925.88586
16,8192,131072,raftL2-fused,4,0.0065406675,164163951767.9197
16,8192,131072,raftL2-fused,8,0.006688041699999999,160546520515.86343
16,8192,131072,raftL2-fused,16,0.0065630727,163603524306.53403
32,1024,1048576,bits + MAGMA,4,0.0074049543,145003166866.26953
32,1024,1048576,bits + MAGMA,8,0.007487450500000001,143405532230.22974
32,1024,1048576,bits + MAGMA,16,0.0076987344,139469913912.08405
32,1024,1048576,bits + zero computation,4,0.004753719883611918,225874020827.6979
32,1024,1048576,bits + zero computation,8,0.004759213904691537,225613272591.40988
32,1024,1048576,bits + zero computation,16,0.004792884746850775,224028300431.28317
32,1024,1048576,bits-fused,4,0.0036305642,295750678090.1988
32,1024,1048576,bits-fused,8,0.0050753513,211560099100.9233
32,1024,1048576,bits-fused,16,0.008082657099999998,132845153606.72672
32,1024,1048576,raftL2-fused,4,0.0090195046,119046651852.6971
32,1024,1048576,raftL2-fused,8,0.0090551667,118577808622.78326
32,1024,1048576,raftL2-fused,16,0.0090919935,118097513378.1167
32,2048,524288,bits + MAGMA,4,0.0073425562,146235424660.42004
32,2048,524288,bits + MAGMA,8,0.0074416735,144287682602.5759
