k,query_count,point_count,algorithm,dim,time,throughput
256,1024,1048576,bits-fused,16,0.006305891499999999,170275975094.08466
256,2048,524288,bits + MAGMA,4,0.005211348,206039171438.9444
256,2048,524288,bits + MAGMA,8,0.0054330216,197632533616.28455
256,2048,524288,bits + MAGMA,16,0.0056519674,189976648485.26904
256,2048,524288,bits + zero computation,4,0.004306762455899032,249315311674.38342
256,2048,524288,bits + zero computation,8,0.004308092257899093,249238354176.6644
256,2048,524288,bits + zero computation,16,0.004308748361899215,249200402022.7152
256,2048,524288,bits-fused,4,0.0024411767,439846007050.6162
256,2048,524288,bits-fused,8,0.0033086112,324529465414.37085
256,2048,524288,bits-fused,16,0.0062434861,171977931367.5416
256,4096,262144,bits + MAGMA,4,0.0051566142,208226131014.41638
256,4096,262144,bits + MAGMA,8,0.0053724653,199860169222.49826
256,4096,262144,bits + MAGMA,16,0.0055850207,192253866489.69806
256,4096,262144,bits + zero computation,4,0.004306322655299779,249340774007.85306
256,4096,262144,bits + zero computation,8,0.004308742556700588,249200737772.13922
256,4096,262144,bits + zero computation,16,0.0043131377595022075,248946795551.44183
256,4096,262144,bits-fused,4,0.0023277367,461281477411.08344
256,4096,262144,bits-fused,8,0.0029835532,359886937494.5283
256,4096,262144,bits-fused,16,0.0042551915999999995,252336892186.0064
256,8192,131072,bits + MAGMA,4,0.0051640282,207927180568.06894
256,8192,131072,bits + MAGMA,8,0.0053757493,199738076327.33173
256,8192,131072,bits + MAGMA,16,0.0055974338,191827516387.9562
256,8192,131072,bits + zero computation,4,0.004314544105400932,248865650175.1584
256,8192,131072,bits + zero computation,8,0.004313684756902894,248915227818.11182
256,8192,131072,bits + zero computation,16,0.0043219651599068175,248438334015.43433
256,8192,131072,bits-fused,4,0.0023426645,458342124533.8374
256,8192,131072,bits-fused,8,0.0029087083,369147302945.4346
256,8192,131072,bits-fused,16,0.0040562389,264713654809.63165
