file,dataset,dim,query_count,point_count,situation,k,sota,proposed,speedup
data/kselection-hopper01-35760906.csv,Uniform,1,4096,262144,max_relative_throughput,32,547339894784.0,478256064010.1453,0.8737825774583494
data/kselection-hopper01-35760906.csv,Uniform,1,4096,262144,min_relative_throughput,2048,547339894784.0,208866159063.40726,0.38160229329863365
data/kselection-hopper01-35760906.csv,Uniform,1,4096,262144,avg_relative_throughput,0,547339894784.0,399196301753.82935,0.7293389456132493
data/kselection-hopper01-35760906.csv,Uniform,1,256,4194304,global_max_speedup,256,188644732890.02524,449396999432.38477,2.382239846019825
data/kselection-hopper01-35760906.csv,Uniform,1,4096,262144,global_min_speedup,2048,186718780108.36084,208866159063.40726,1.1186135585407817
data/kselection-hopper01-35760906.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,1.8548225415720676
data/kselection-hopper01-35760906.csv,Uniform,1,4096,262144,global_max_relative_throughput,32,547339894784.0,478256064010.1453,0.8737825774583494
data/kselection-hopper01-35760906.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,547339894784.0,208866159063.40726,0.38160229329863365
data/kselection-hopper01-35760906.csv,Uniform,1,0,0,global_avg_relative_throughput,0,547339894784.0,406369836992.9413,0.7424451257171916
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,max_speedup,128,164527994434.98114,352156199214.7127,2.1404029169873535
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,min_speedup,32,279946601294.6289,355063280281.26715,1.2683250256986758
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.7831144606853504
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,max_relative_throughput,32,547339894784.0,355063280281.26715,0.648707108078405
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,min_relative_throughput,1024,547339894784.0,301930798255.7138,0.5516330914903738
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,avg_relative_throughput,0,547339894784.0,331324652310.09705,0.6053362005355917
data/kselection-hopper01-108424.csv,Uniform,1,256,4194304,max_speedup,128,166298547000.39276,453934627081.88477,2.7296367603308807
data/kselection-hopper01-108424.csv,Uniform,1,256,4194304,min_speedup,2048,164949467393.89285,315979891784.11884,1.9156163204187333
data/kselection-hopper01-108424.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,2.406341236256356
data/kselection-hopper01-108424.csv,Uniform,1,256,4194304,max_relative_throughput,32,547339894784.0,458483544788.19476,0.8376578231505103
data/kselection-hopper01-108424.csv,Uniform,1,256,4194304,min_relative_throughput,2048,547339894784.0,315979891784.11884,0.577301042360188
data/kselection-hopper01-108424.csv,Uniform,1,256,4194304,avg_relative_throughput,0,547339894784.0,420293033899.16534,0.7678830611553139
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,max_speedup,256,162514232911.92017,467430632548.27313,2.8762442782572295
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,min_speedup,32,258948739455.67172,478133353175.7402,1.8464401648790019
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,avg_speedup,0,0,0,2.2400528883224182
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,max_relative_throughput,32,547339894784.0,478133353175.7402,0.8735583825192
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,min_relative_throughput,2048,547339894784.0,359872439121.52045,0.6574935292512143
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,avg_relative_throughput,0,547339894784.0,447333091014.1656,0.8172857401353857
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,max_speedup,512,160519905770.9958,427688360566.3191,2.6643945404283795
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,min_speedup,2048,154293339744.8961,205879527682.40298,1.3343383973851233
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,avg_speedup,0,0,0,1.9155129801517945
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,max_relative_throughput,32,547339894784.0,476897202121.0773,0.8712999119300048
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,min_relative_throughput,2048,547339894784.0,205879527682.40298,0.37614566313250464
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,avg_relative_throughput,0,547339894784.0,396406266115.09814,0.724241499464486
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,global_max_speedup,256,162514232911.92017,467430632548.27313,2.8762442782572295
data/kselection-hopper01-108424.csv,Uniform,1,64,16777216,global_min_speedup,32,279946601294.6289,355063280281.26715,1.2683250256986758
data/kselection-hopper01-108424.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,2.08625539135398
data/kselection-hopper01-108424.csv,Uniform,1,1024,1048576,global_max_relative_throughput,32,547339894784.0,478133353175.7402,0.8735583825192
data/kselection-hopper01-108424.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,547339894784.0,205879527682.40298,0.37614566313250464
data/kselection-hopper01-108424.csv,Uniform,1,0,0,global_avg_relative_throughput,0,547339894784.0,398839260834.63153,0.7286866253226943
