hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
hopper01,H100,cublas-dist,1048576,1024,1,8,256,1,1,1,1,0.010425740499999999
hopper01,H100,cublas-dist,1048576,1024,1,16,128,1,1,1,1,0.0105405936
hopper01,H100,cublas-dist,1048576,1024,1,32,512,1,1,1,1,0.0113121258
hopper01,H100,cublas-dist,1048576,1024,1,64,64,1,1,1,1,0.0131552071
hopper01,H100,cublas-dist,1048576,1024,1,128,64,1,1,1,1,0.016321145500000002
hopper01,H100,cublas-dist,1048576,1024,1,256,64,1,1,1,1,0.025818788199999998
hopper01,H100,magma-dist,131072,8192,1,4,256,1,1,1,1,0.0028026666000000003
hopper01,H100,magma-dist,131072,8192,1,8,256,1,1,1,1,0.0030434766
hopper01,H100,magma-dist,131072,8192,1,16,256,1,1,1,1,0.0032415131999999998
hopper01,H100,magma-dist,131072,8192,1,32,256,1,1,1,1,0.0051991416
hopper01,H100,magma-dist,131072,8192,1,64,256,1,1,1,1,0.0087975612
hopper01,H100,magma-dist,131072,8192,1,128,256,1,1,1,1,0.016641056199999997
hopper01,H100,magma-dist,131072,8192,1,256,256,1,1,1,1,0.0324909022
hopper01,H100,magma-dist,262144,4096,1,4,256,1,1,1,1,0.0028032019
hopper01,H100,magma-dist,262144,4096,1,8,256,1,1,1,1,0.0030226511
hopper01,H100,magma-dist,262144,4096,1,16,256,1,1,1,1,0.0032620799999999997
hopper01,H100,magma-dist,262144,4096,1,32,256,1,1,1,1,0.0052943052
hopper01,H100,magma-dist,262144,4096,1,64,256,1,1,1,1,0.0089113987
hopper01,H100,magma-dist,262144,4096,1,128,256,1,1,1,1,0.0166763818
hopper01,H100,magma-dist,262144,4096,1,256,256,1,1,1,1,0.0323665421
hopper01,H100,magma-dist,524288,2048,1,4,256,1,1,1,1,0.0028704311
hopper01,H100,magma-dist,524288,2048,1,8,256,1,1,1,1,0.0031069903999999997
hopper01,H100,magma-dist,524288,2048,1,16,256,1,1,1,1,0.0033530293
hopper01,H100,magma-dist,524288,2048,1,32,256,1,1,1,1,0.0054537029
hopper01,H100,magma-dist,524288,2048,1,64,256,1,1,1,1,0.009153856200000001
hopper01,H100,magma-dist,524288,2048,1,128,256,1,1,1,1,0.0170011791
hopper01,H100,magma-dist,524288,2048,1,256,256,1,1,1,1,0.0330549142
hopper01,H100,magma-dist,1048576,1024,1,4,256,1,1,1,1,0.0028865731
hopper01,H100,magma-dist,1048576,1024,1,8,256,1,1,1,1,0.0031020911
hopper01,H100,magma-dist,1048576,1024,1,16,256,1,1,1,1,0.0033530263
hopper01,H100,magma-dist,1048576,1024,1,32,256,1,1,1,1,0.0054107699
hopper01,H100,magma-dist,1048576,1024,1,64,256,1,1,1,1,0.0091703713
hopper01,H100,magma-dist,1048576,1024,1,128,256,1,1,1,1,0.0169457778
hopper01,H100,magma-dist,1048576,1024,1,256,256,1,1,1,1,0.033077782099999994
hopper01,H100,tiled-dist,131072,8192,1,4,16,1,1,1,1,0.0087842757
hopper01,H100,tiled-dist,131072,8192,1,8,16,1,1,1,1,0.008850041
hopper01,H100,tiled-dist,131072,8192,1,16,16,1,1,1,1,0.0088447438
hopper01,H100,tiled-dist,131072,8192,1,32,16,1,1,1,1,0.015264370499999999
hopper01,H100,tiled-dist,131072,8192,1,64,16,1,1,1,1,0.0298842891
hopper01,H100,tiled-dist,131072,8192,1,128,32,1,1,1,1,0.0573189431
hopper01,H100,tiled-dist,131072,8192,1,256,32,1,1,1,1,0.10999878030000002
hopper01,H100,tiled-dist,262144,4096,1,4,16,1,1,1,1,0.008797257
hopper01,H100,tiled-dist,262144,4096,1,8,16,1,1,1,1,0.0088444401
hopper01,H100,tiled-dist,262144,4096,1,16,16,1,1,1,1,0.0090586751
hopper01,H100,tiled-dist,262144,4096,1,32,16,1,1,1,1,0.0162604889
hopper01,H100,tiled-dist,262144,4096,1,64,16,1,1,1,1,0.0303923506
hopper01,H100,tiled-dist,262144,4096,1,128,32,1,1,1,1,0.0573178506
hopper01,H100,tiled-dist,262144,4096,1,256,32,1,1,1,1,0.1100077019
hopper01,H100,tiled-dist,524288,2048,1,4,16,1,1,1,1,0.0088773228
hopper01,H100,tiled-dist,524288,2048,1,8,16,1,1,1,1,0.0092304448
hopper01,H100,tiled-dist,524288,2048,1,16,16,1,1,1,1,0.0094801912
hopper01,H100,tiled-dist,524288,2048,1,32,16,1,1,1,1,0.016315516699999998
hopper01,H100,tiled-dist,524288,2048,1,64,16,1,1,1,1,0.0302592829
hopper01,H100,tiled-dist,524288,2048,1,128,32,1,1,1,1,0.0573624126
hopper01,H100,tiled-dist,524288,2048,1,256,32,1,1,1,1,0.1099889754
hopper01,H100,tiled-dist,1048576,1024,1,4,16,1,1,1,1,0.0088736506
hopper01,H100,tiled-dist,1048576,1024,1,8,16,1,1,1,1,0.0092037574
